STAGE NAME,STAGE CODE,MATERIALS,P20C-25W-BS,P20M-25W-BS,P30C-25W-BS,P30M-25W-BS
Insertion 1,P2025-INS1,PCB-P20C3-BARE,1,1,1,1
Insertion 1,P2025-INS1,D-ZN6V-1/2W2-$2,1,1,1,1
Insertion 1,P2025-INS1,R-560R-1/8W5-$5,1,1,1,1
Insertion 1,P2025-INS1,R-560R-1/8W5-$6,1,1,1,1
Insertion 1,P2025-INS1,R-5K6-1/8W5-$4,1,1,1,1
Insertion 1,P2025-INS1,R-6K8-1/8W5-$2,1,1,1,1
Insertion 2,P2025-INS2,P2025-INS1,1,1,1,1
Insertion 2,P2025-INS2,D-1N4007-$4,3,3,3,3
Insertion 2,P2025-INS2,R-2M4-1/4W1-$1,1,1,1,1
Insertion 2,P2025-INS2,R-560K-1/8W5-$4,1,1,1,1
Insertion 3,P2025-INS3,P2025-INS2,1,1,1,1
Insertion 3,P2025-INS3,CA-01U25V-R5,1,1,1,1
Insertion 3,P2025-INS3,D-ZN30V-1W-$2,1,1,1,1
Insertion 3,P2025-INS3,R-390R-1/2W5-$3,2,2,2,2
Insertion 3,P2025-INS3,R-3K9-1/8W5-$1,1,1,1,1
Insertion 3,P2025-INS3,R-56K-1/8W1-$4,1,1,1,1
Insertion 4,P2025-INS4,P2025-INS3,1,1,1,1
Insertion 4,P2025-INS4,CA-47U16V-EL-S1,1,1,1,1
Insertion 4,P2025-INS4,D-1N4007-$4,2,2,2,2
Insertion 4,P2025-INS4,R-680R-1W5-$2,1,1,1,1
Insertion 4,P2025-INS4,TR-2N3904-$1,2,2,2,2
Insertion 5,P2025-INS5,P2025-INS4,1,1,1,1
Insertion 5,P2025-INS5,CA-100U63V-$1,1,1,1,1
Insertion 5,P2025-INS5,LED-5MM-GR-$2,1,1,1,1
Insertion 5,P2025-INS5,LED-5MM-RD-$2,1,1,1,1
Insertion 5,P2025-INS5,LED-5MMSPCR-16,2,2,2,2
Insertion 5,P2025-INS5,VAR-681K-D10-$1,1,1,1,1
Insertion 6,P2025-INS6,P2025-INS5,1,1,1,1
Insertion 6,P2025-INS6,CA-068-X2-22,1,1,1,1
Insertion 6,P2025-INS6,LED-5MM-YL-$2,1,1,1,1
Insertion 6,P2025-INS6,LED-5MMSPCR-17,1,1,1,1
Insertion 6,P2025-INS6,RLY-HF24V-P20,1,1,1,1
Wave Soldering,P2025-WS,P2025-INS6,1,1,1,1
Touch Up,P2025-TUP,P2025-WS,1,1,1,1
IC Soldering,P2025-ICS,P2025-TUP,1,1,1,1
IC Soldering,P2025-ICS,IC-P601-SMD-$6,1,1,1,1
Panel Testing,P2025-PT,P2025-ICS,1,1,1,1
Board Wire,P2025-WRG,P2025-PT,1,1,0,0
Board Wire,P2025-WRG,CN-BLK6MM-P20$1,1,1,0,0
Board Wire,P2025-WRG,W-05YLP20-FLX$1,1,1,0,0
Board Wire,P2025-WRG,W-25RDP20-FLX$2,1,1,0,0
Board Wire,P2025-WRG,W-25X3C-WHT$1,1,1,0,0
Board Wire,P3025-WRG,P2025-PT,0,0,1,1
Board Wire,P3025-WRG,CN-BLK6MM-P20$1,0,0,1,1
Board Wire,P3025-WRG,W-05YLP20-FLX$1,0,0,1,1
Board Wire,P3025-WRG,W-25RDP20-FLX$2,0,0,1,1
Board Wire,P3025-WRG,W-30X3C-GRY$1,0,0,1,1
Mech Ass 1,P20C25-ASS1,P2025-WRG,1,0,0,0
Mech Ass 1,P20C25-ASS1,BOX-P20-FR-$1,1,0,0,0
Mech Ass 1,P20C25-ASS1,BOX-P20-CLIPS,1,0,0,0
Mech Ass 1,P20C25-ASS1,SC-ST-M2.6X10,2,0,0,0
Mech Ass 1,P20M25-ASS1,P2025-WRG,0,1,0,0
Mech Ass 1,P20M25-ASS1,BOX-P20M-FR-$1,0,1,0,0
Mech Ass 1,P20M25-ASS1,BOX-P20-CLIPS,0,1,0,0
Mech Ass 1,P20M25-ASS1,SC-ST-M2.6X10,0,2,0,0
Mech Ass 1,P30C25-ASS1,P3025-WRG,0,0,1,0
Mech Ass 1,P30C25-ASS1,BOX-P30C-FR-$1,0,0,1,0
Mech Ass 1,P30C25-ASS1,BOX-P20-CLIPS,0,0,1,0
Mech Ass 1,P30C25-ASS1,SC-ST-M2.6X10,0,0,2,0
Mech Ass 1,P30M25-ASS1,P3025-WRG,0,0,0,1
Mech Ass 1,P30M25-ASS1,BOX-P30M-FR-$1,0,0,0,1
Mech Ass 1,P30M25-ASS1,BOX-P20-CLIPS,0,0,0,1
Mech Ass 1,P30M25-ASS1,SC-ST-M2.6X10,0,0,0,2
Mech Ass 2,P20C25-ASS2,P20C25-ASS1,1,0,0,0
Mech Ass 2,P20C25-ASS2,BOX-P20-BK-$1,1,0,0,0
Mech Ass 2,P20C25-ASS2,SC-ST-M2.6X12Y,2,0,0,0
Mech Ass 2,P20M25-ASS2,P20M25-ASS1,0,1,0,0
Mech Ass 2,P20M25-ASS2,BOX-P20M-BK-$1,0,1,0,0
Mech Ass 2,P20M25-ASS2,SC-ST-M2.6X12Y,0,2,0,0
Mech Ass 2,P30C25-ASS2,P30C25-ASS1,0,0,1,0
Mech Ass 2,P30C25-ASS2,BOX-P30C-BK-$1,0,0,1,0
Mech Ass 2,P30C25-ASS2,SC-ST-M2.6X12Y,0,0,2,0
Mech Ass 2,P30M25-ASS2,P30M25-ASS1,0,0,0,1
Mech Ass 2,P30M25-ASS2,BOX-P30M-BK-$1,0,0,0,1
Mech Ass 2,P30M25-ASS2,SC-ST-M2.6X12Y,0,0,0,2
Final Testing,P20C25-FT,P20C25-ASS2,1,0,0,0
Final Testing,P20C25-FT,BOX-P20-Small,1,0,0,0
Final Testing,P20C25-FT,SC-ST-M2.6X12,1,0,0,0
Final Testing,P20M25-FT,P20M25-ASS2,0,1,0,0
