*start,,,,,,,,,,,,,,,,,,,,,,,,,
P20C25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P2025-WRG,P20C25-ASS1,P20C25-ASS2,P20C25-FT,P20C25-BS,,,,,,,,,,
P20M25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P2025-WRG,P20M25-ASS1,P20M25-ASS2,P20M25-FT,P20M25-BS,,,,,,,,,,
P30C25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P3025-WRG,P30C25-ASS1,P30C25-ASS2,P30C25-FT,P30C25-BS,,,,,,,,,,
P30M25-25W-BS,P2025-INS1,P2025-INS2,P2025-INS3,P2025-INS4,P2025-INS5,P2025-INS6,P2025-WS,P2025-TUP,P2025-ICS,P2025-PT,P3025-WRG,P30M25-ASS1,P30M25-ASS2,P30M25-FT,P30M25-BS,,,,,,,,,,
#end,,,,,,,,,,,,,,,,,,,,,,,,,
*start,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Code,Task Code,Item Code,BOM Qty,Std. Time/Sec,,,,,,,,,,,,,,,,,,,,,
P2025-INS1,1,PCB-P20C3-BARE,1,170,,,,,,,,,,,,,,,,,,,,,
,1,D-ZN6V-1/2W2-$2,10,,,,,,,,,,,,,,,,,,,,,,
,1,R-560R-1/8W5-$5,10,,,,,,,,,,,,,,,,,,,,,,
,1,R-560R-1/8W5-$6,10,,,,,,,,,,,,,,,,,,,,,,
,1,R-5K6-1/8W5-$4,10,,,,,,,,,,,,,,,,,,,,,,
,1,R-6K8-1/8W5-$2,10,,,,,,,,,,,,,,,,,,,,,,
P2025-INS2,1,P2025-INS1,1,160,,,,,,,,,,,,,,,,,,,,,
,,D-1N4007-$4,30,,,,,,,,,,,,,,,,,,,,,,
,,R-2M4-1/4W1-$1,10,,,,,,,,,,,,,,,,,,,,,,
,,R-560K-1/8W5-$4,10,,,,,,,,,,,,,,,,,,,,,,
P2025-INS3,1,P2025-INS2,1,180,,,,,,,,,,,,,,,,,,,,,
,,CA-01U25V-R5,10,,,,,,,,,,,,,,,,,,,,,,
,,D-ZN30V-1W-$2,10,,,,,,,,,,,,,,,,,,,,,,
,,R-390R-1/2W5-$3,20,,,,,,,,,,,,,,,,,,,,,,
,,R-3K9-1/8W5-$1,10,,,,,,,,,,,,,,,,,,,,,,
,,R-56K-1/8W1-$4,10,,,,,,,,,,,,,,,,,,,,,,
P2025-INS4,1,P2025-INS3,1,180,,,,,,,,,,,,,,,,,,,,,
,,CA-47U16V-EL-$1,10,,,,,,,,,,,,,,,,,,,,,,
,,D-1N4007-$4,20,,,,,,,,,,,,,,,,,,,,,,
,,R-680R-1W5-$2,10,,,,,,,,,,,,,,,,,,,,,,
,,TR-2N3904-$1,20,,,,,,,,,,,,,,,,,,,,,,
P2025-INS5,1,P2025-INS4,1,140,,,,,,,,,,,,,,,,,,,,,
,,CA-100U63V-$1,10,,,,,,,,,,,,,,,,,,,,,,
,,LED-5MM-GR-$2,10,,,,,,,,,,,,,,,,,,,,,,
,,LED-5MM-RD-$2,10,,,,,,,,,,,,,,,,,,,,,,
,,LED-5MMSPCR-16,20,,,,,,,,,,,,,,,,,,,,,,
,,VAR-681K-D10-$1,10,,,,,,,,,,,,,,,,,,,,,,
P2025-INS6,1,P2025-INS5,1,150,,,,,,,,,,,,,,,,,,,,,
,,CA-068-X2-22,10,,,,,,,,,,,,,,,,,,,,,,
,,LED-5MM-YL-$2,10,,,,,,,,,,,,,,,,,,,,,,
,,LED-5MMSPCR-17,10,,,,,,,,,,,,,,,,,,,,,,
,,RLY-HF24V-P20,10,,,,,,,,,,,,,,,,,,,,,,
P2025-WS,2,P2025-INS6,1,120,,,,,,,,,,,,,,,,,,,,,
P2025-TUP,3,P2025-WS,1,270,,,,,,,,,,,,,,,,,,,,,
P2025-ICS,4,P2025-TUP,1,34,,,,,,,,,,,,,,,,,,,,,
,,IC-P601-SMD-$6,10,,,,,,,,,,,,,,,,,,,,,,
P2025-PT,5,P2025-ICS,1,200,,,,,,,,,,,,,,,,,,,,,
P2025-WRG,7,P2025-PT,0.1,720,,,,,,,,,,,,,,,,,,,,,
,,CN-BLK6MM-P20$1,1,,,,,,,,,,,,,,,,,,,,,,
,,W-05YLP20-FLX$1,1,,,,,,,,,,,,,,,,,,,,,,
,,W-25RDP20-FLX$2,1,,,,,,,,,,,,,,,,,,,,,,
,,W-25X3C-WHT$1,1,,,,,,,,,,,,,,,,,,,,,,
P3025-WRG,7,P2025-PT,0.1,720,,,,,,,,,,,,,,,,,,,,,
,,CN-BLK6MM-P20$1,1,,,,,,,,,,,,,,,,,,,,,,
,,W-05YLP20-FLX$1,1,,,,,,,,,,,,,,,,,,,,,,
,,W-25RDP20-FLX$2,1,,,,,,,,,,,,,,,,,,,,,,
,,W-30X3C-GRY$1,1,,,,,,,,,,,,,,,,,,,,,,
P20C25-ASS1,11,P2025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
P20M25-ASS1,11,P2025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20M-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
P30C25-ASS1,11,P3025-WRG,1,400,,,,,,,,,,,,,,,,,,,,,
,,BOX-P30C-FR-$1,1,,,,,,,,,,,,,,,,,,,,,,
,,BOX-P20-CLIPS,1,,,,,,,,,,,,,,,,,,,,,,
,,SC-ST-M2.6X10,2,,,,,,,,,,,,,,,,,,,,,,
